color,pick_success,x,y,row-col-configuration_type
red,True,0.48042715,-0.14580673,1-1-red
red,True,0.49673134,-0.14541666,1-1-red
red,True,0.5833484,-0.31727672,1-1-red
red,True,0.4151544,-0.12612793,1-2-red
red,False,0.5295997,-0.10246928,1-2-red
red,True,0.50801903,-0.12060827,1-2-red
red,True,0.5840245,-0.32630792,1-2-red
red,False,0.35157853,-0.21500595,1-2-red
red,True,0.32946682,-0.21555501,1-2-red
red,True,0.5881186,-0.32999495,1-2-red
red,True,0.4688848,-0.14995061,1-2-red
red,True,0.58471596,-0.32599035,2-1-red
red,True,0.50320166,-0.23620787,2-1-red
red,True,0.4436334,-0.33115706,2-1-red
red,True,0.5990293,-0.18768515,2-1-red
red,True,0.41919017,-0.33313578,2-1-red
red,True,0.32566068,-0.10953565,2-1-red
red,True,0.34266898,-0.09862738,2-2-red-green
red,True,0.35139194,-0.32167894,2-2-red-green
green,True,0.5955316,-0.3172571,2-2-red-green
green,True,0.49772125,-0.23760448,2-2-red-green
red,True,0.5427465,-0.3288456,2-2-red-green
red,True,0.37868404,-0.26639163,2-2-red-green
green,True,0.6100729,-0.27626526,2-2-red-green
green,True,0.50977296,-0.33780104,2-2-red-green
red,True,0.35794714,-0.28055862,2-3-red-green
red,True,0.47925314,-0.08914473,2-3-red-green
red,True,0.46177724,-0.32273835,2-3-red-green
green,True,0.5946478,-0.33201104,2-3-red-green
green,True,0.5604971,-0.32595077,2-3-red-green
green,True,0.4914661,-0.22823134,2-3-red-green
red,True,0.3966206,-0.31908017,2-3-red-green
red,True,0.463424,-0.2111597,2-3-red-green
red,True,0.48471707,-0.09812503,2-3-red-green
green,True,0.51091886,-0.3227187,2-3-red-green
green,False,0.3615954,-0.33724666,2-3-red-green
green,True,0.3675005,-0.33141068,2-3-red-green
green,True,0.47191173,-0.23163836,2-3-red-green
red,True,0.4824858,-0.31956425,2-3-red-green
red,True,0.58851933,-0.28880143,2-3-red-green
red,True,0.47816482,-0.06528448,2-3-red-green
green,True,0.4103787,-0.30302262,2-3-red-green
green,True,0.3825206,-0.18453953,2-3-red-green
green,False,0.5753623,-0.1315515,2-3-red-green
green,True,0.5757647,-0.19902492,2-3-red-green
red,True,0.4778112,-0.3147163,3-2-red-green
green,True,0.59547764,-0.30420658,3-2-red-green
red,True,0.344828,-0.15790492,3-2-red-green
green,False,0.36311236,-0.313712,3-2-red-green
green,True,0.40015492,-0.30751735,3-2-red-green
red,True,0.5687964,-0.17463987,3-2-red-green
green,True,0.5729775,-0.29631394,3-2-red-green
red,True,0.5856968,-0.2873579,3-2-red-green
green,True,0.3767991,-0.33348733,3-2-red-green
red,True,0.3819051,-0.21835852,3-2-red-green
green,True,0.47404173,-0.25109503,3-2-red-green
red,False,0.5031375,-0.11424816,3-2-red-green
red,True,0.461607,-0.20596173,3-2-red-green
green,False,0.57049876,-0.17252742,3-2-red-green
green,True,0.5545014,-0.20577033,3-2-red-green
red,True,0.55011934,-0.25029922,3-3-red-green-blue
green,False,0.3349493,-0.32702053,3-3-red-green-blue
green,False,0.5794221,-0.17063959,3-3-red-green-blue
green,False,0.39230007,-0.327763,3-3-red-green-blue
green,True,0.4027076,-0.30945593,3-3-red-green-blue
blue,True,0.48432222,-0.3086299,3-3-red-green-blue
red,True,0.39759877,-0.21166912,3-3-red-green-blue
green,True,0.5861919,-0.29751283,3-3-red-green-blue
blue,True,0.4507692,-0.31641218,3-3-red-green-blue
red,True,0.44680187,-0.2845281,3-3-red-green-blue
green,True,0.5383772,-0.19628638,3-3-red-green-blue
blue,True,0.4145172,-0.09380938,3-3-red-green-blue
red,True,0.3454323,-0.26578224,3-3-red-green-blue
green,True,0.60469705,-0.32958788,3-3-red-green-blue
blue,True,0.5894937,-0.23797789,3-3-red-green-blue
red,True,0.4347719,-0.22207184,3-3-red-green-blue
green,True,0.50160325,-0.33283824,3-3-red-green-blue
blue,True,0.5230696,-0.14391728,3-3-red-green-blue
red,True,0.41349742,-0.3280028,3-3-red-green-blue
green,True,0.52054214,-0.17716151,3-3-red-green-blue
blue,True,0.37039486,-0.09229915,3-3-red-green-blue
red,True,0.44855744,-0.30359071,3-3-red-green-blue
green,True,0.5639238,-0.30914345,3-3-red-green-blue
blue,True,0.45493364,-0.2985378,3-3-red-green-blue
red,True,0.37450176,-0.09001751,3-3-red-green-blue
green,True,0.43016642,-0.19728206,3-3-red-green-blue
blue,True,0.3530278,-0.26564756,3-3-red-green-blue
red,True,0.54181755,-0.26741493,3-3-red-green-blue
green,True,0.5193885,-0.2644455,3-3-red-green-blue
blue,True,0.5002838,-0.13891403,3-3-red-green-blue
red,True,0.4874745,-0.27047244,3-3-red-green-blue
red,True,0.35447773,-0.2607367,3-3-red-green-blue
red,True,0.4607014,-0.06520744,3-3-red-green-blue
green,True,0.42305464,-0.20250326,3-3-red-green-blue
green,False,0.5342584,-0.33983576,3-3-red-green-blue
green,True,0.5223827,-0.30907267,3-3-red-green-blue
green,False,0.5459789,-0.08255735,3-3-red-green-blue
green,True,0.5323838,-0.100956164,3-3-red-green-blue
blue,True,0.40512705,-0.3285404,3-3-red-green-blue
blue,True,0.58365643,-0.21977192,3-3-red-green-blue
blue,True,0.39287958,-0.10942059,3-3-red-green-blue
red,True,0.4508074,-0.24815412,3-3-red-green-blue
red,True,0.5361328,-0.19620597,3-3-red-green-blue
red,True,0.45420456,-0.12416865,3-3-red-green-blue
green,True,0.5115176,-0.3323223,3-3-red-green-blue
green,True,0.371933,-0.31123814,3-3-red-green-blue
green,True,0.60160565,-0.12009867,3-3-red-green-blue
blue,True,0.59860545,-0.26767877,3-3-red-green-blue
blue,False,0.4991128,-0.269124,3-3-red-green-blue
blue,False,0.57009673,-0.30611336,3-3-red-green-blue
blue,True,0.5231379,-0.2918096,3-3-red-green-blue
blue,True,0.523298,-0.22538556,3-3-red-green-blue
